а	a
повідкидайте	p o wj i d k y d a j t e
повідкидали	p o wj i d k y d a l y
повідкидаю	p o wj i d k y d a j u
повідкидає	p o wj i d k y d a j e
повідкривав	p o wj i d k r y w a w
повідкривались	p o wj i d k r y w a l y sj
повідливав	p o wj i d l y w a w
повідлучуваних	p o wj i d l u tsh u w a n y x
повідом	p o wj i d o m
повідоми	p o wj i d o m y
повідомив	p o wj i d o m y w
повідомила	p o wj i d o m y l a
повідомили	p o wj i d o m y l y
повідомити	p o wj i d o m y t y
повідомить	p o wj i d o m y tj
повідомлено	p o wj i d o m l e n o
повідомляємо	p o wj i d o m lj a j e m o
повідомте	p o wj i d o m t e
повідпадали	p o wj i d p a d a l y
повідпускали	p o wj i d p u s k a l y
повідрубував	p o wj i d r u b u w a w
повідрубували	p o wj i d r u b u w a l y
повідрубуйте	p o wj i d r u b u j t e
повідрубує	p o wj i d r u b u j e
повідставляв	p o wj i dz s t a w lj a w
повідставляй	p o wj i dz s t a w lj a j
повідступали	p o wj i dz s t u p a l y
повідступало	p o wj i dz s t u p a l o
повідступають	p o wj i dz s t u p a j u tj
повідходять	p o wj i d x o dj a tj
повідчинялися	p o wj i tsh tsh y nj a l y sj a
повідчиняю	p o wj i tsh tsh y nj a j u
повідчиняють	p o wj i tsh tsh y nj a j u tj
повідь	p o wj i dj
повіз	p o wj i z
повій	p o wj i j
повік	p o wj i k
повікам	p o wj i k a m
повіками	p o wj i k a m y
повіках	p o wj i k a x
повіквічне	p o wj i k wj i tsh n e
повіки	p o wj i k y
повіків	p o wj i kj i w
повіла	p o wj i l a
повіли	p o wj i l y
повільна	p o wj i lj n a
повім	p o wj i m
повір	p o wj i r
повірено	p o wj i r e n o
повірив	p o wj i r y w
повірила	p o wj i r y l a
повірили	p o wj i r y l y
повіримо	p o wj i r y m o
повірите	p o wj i r y t e
повірити	p o wj i r y t y
повіриш	p o wj i r y sh
повірники	p o wj i r n y k y
повірте	p o wj i r t e
повірю	p o wj i rj u
повірять	p o wj i rj a tj
повісив	p o wj i s y w
повісився	p o wj i s y w sj a
повісивши	p o wj i s y w sh y
повісили	p o wj i s y l y
повісити	p o wj i s y t y
повісить	p o wj i s y tj
повісиш	p o wj i s y sh
повісте	p o wj i s t e
повість	p o wj i sj tj
повісь	p o wj i sj
повісьте	p o wj i sj t e
повісять	p o wj i sj a tj
повітали	p o wj i t a l y
повітати	p o wj i t a t y
повітає	p o wj i t a j e
повітаєш	p o wj i t a j e sh
повітря	p o wj i t rj a
повітрі	p o wj i t rj i
повішай	p o wj i sh a j
повішали	p o wj i sh a l y
повішаних	p o wj i sh a n y x
повішаємо	p o wj i sh a j e m o
повішена	p o wj i sh e n a
повішений	p o wj i sh e n y j
повішені	p o wj i sh e nj i
повіяв	p o wj i j a w
повіє	p o wj i j e
поган	p o h a n
поганам	p o h a n a m
поганами	p o h a n a m y
погани	p o h a n y
поганий	p o h a n y j
поганин	p o h a n y n
поганська	p o h a nj sj k a
поганське	p o h a nj sj k e
поганських	p o h a nj sj k y x
поганському	p o h a nj sj k o m u
поганською	p o h a nj sj k o j u
поганські	p o h a nj sj kj i
поганьбить	p o h a nj b y tj
поганьблені	p o h a nj b l e nj i
поганяй	p o h a nj a j
поганяють	p o h a nj a j u tj
поганів	p o h a nj i w
погаптована	p o h a p t o w a n a
погас	p o h a s
погасають	p o h a s a j u tj
погасив	p o h a s y w
погасили	p o h a s y l y
погасити	p o h a s y t y
погасить	p o h a s y tj
погасиш	p o h a s y sh
погасли	p o h a s l y
погасне	p o h a s n e
погасять	p o h a sj a tj
погашу	p o h a sh u
погашує	p o h a sh u j e
погибають	p o h y b a j u tj
погибель	p o h y b e lj
погибельна	p o h y b e lj n a
погибелі	p o h y b e lj i
погибіль	p o h y bj i lj
погине	p o h y n e
погинемо	p o h y n e m o
погинете	p o h y n e t e
погинули	p o h y n u l y
погинуло	p o h y n u l o
погинуть	p o h y n u tj
погиньте	p o h y nj t e
погладшали	p o h l a d sh a l y
поглине	p o h l y n e
поглинула	p o h l y n u l a
поглинута	p o h l y n u t a
поглинутий	p o h l y n u t y j
поглушив	p o h l u sh y w
погляд	p o h lj a d
поглядав	p o h lj a d a w
поглядають	p o h lj a d a j u tj
погляди	p o h lj a d y
погляне	p o h lj a n e
поглянете	p o h lj a n e t e
погляну	p o h lj a n u
поглянув	p o h lj a n u w
поглянувши	p o h lj a n u w sh y
поглянули	p o h lj a n u l y
поглянути	p o h lj a n u t y
поглянуть	p o h lj a n u tj
поглянь	p o h lj a nj
погляньте	p o h lj a nj t e
погнав	p o h n a w
погнався	p o h n a w sj a
погнали	p o h n a l y
погналися	p o h n a l y sj a
погналося	p o h n a l o sj a
погнати	p o h n a t y
погниють	p o h n y j u tj
погниє	p o h n y j e
погноєм	p o h n o j e m
погній	p o h nj i j
поговоримо	p o h o w o r y m o
поговорити	p o h o w o r y t y
поговором	p o h o w o r o m
поговір	p o h o wj i r
поговірка	p o h o wj i r k a
погода	p o h o d a
погоджуйся	p o h o dzh u j sj a
погоджуються	p o h o dzh u j u tsj tsj a
погодився	p o h o d y w sj a
погодились	p o h o d y l y sj
погодилися	p o h o d y l y sj a
погодити	p o h o d y t y
погодиться	p o h o d y tsj tsj a
погодувати	p o h o d u w a t y
погожої	p o h o zh o j i
поголить	p o h o l y tj
поголиться	p o h o l y tsj tsj a
поголомшені	p o h o l o m sh e nj i
поголоска	p o h o l o s k a
поголоски	p o h o l o s k y
поголосок	p o h o l o s o k
погонича	p o h o n y tsh a
погоничам	p o h o n y tsh a m
погоничі	p o h o n y tshj i
погоня	p o h o nj a
погоні	p o h o nj i
погорда	p o h o r d a
погорджена	p o h o r dzh e n a
погорджений	p o h o r dzh e n y j
погордженим	p o h o r dzh e n y m
погорджених	p o h o r dzh e n y x
погордження	p o h o r dzh e nj nj a
погордженого	p o h o r dzh e n o h o
погордженою	p o h o r dzh e n o j u
погорджував	p o h o r dzh u w a w
погорджували	p o h o r dzh u w a l y
погорджуваний	p o h o r dzh u w a n y j
погорджуваними	p o h o r dzh u w a n y m y
погорджувати	p o h o r dzh u w a t y
погорджують	p o h o r dzh u j u tj
погорджує	p o h o r dzh u j e
погорджуєте	p o h o r dzh u j e t e
погорджується	p o h o r dzh u j e tsj tsj a
погорджуєш	p o h o r dzh u j e sh
погорди	p o h o r d y
погордив	p o h o r d y w
погордила	p o h o r d y l a
погордили	p o h o r d y l y
погордить	p o h o r d y tj
погордиш	p o h o r d y sh
погордою	p o h o r d o j u
погорду	p o h o r d u
погордував	p o h o r d u w a w
погордували	p o h o r d u w a l y
погордує	p o h o r d u j e
погордуєш	p o h o r d u j e sh
погордющі	p o h o r dj j u sh tshj i
погорді	p o h o r dj i
погорять	p o h o rj a tj
погоріла	p o h o rj i l a
погорілища	p o h o rj i l y sh tsh a
погорілище	p o h o rj i l y sh tsh e
погорілищем	p o h o rj i l y sh tsh e m
погострені	p o h o s t r e nj i
пограбована	p o h r a b o w a n a
пограбований	p o h r a b o w a n y j
пограбовані	p o h r a b o w a nj i
пограбував	p o h r a b u w a w
пограбували	p o h r a b u w a l y
пограбувати	p o h r a b u w a t y
пограбують	p o h r a b u j u tj
пограбує	p o h r a b u j e
погреб	p o h r e b
погребальники	p o h r e b a lj n y k y
погребальників	p o h r e b a lj n y kj i w
погребовому	p o h r e b o w o m u
погребі	p o h r e bj i
погрожував	p o h r o zh u w a w
погрози	p o h r o z y
погрозив	p o h r o z y w
погрозивши	p o h r o z y w sh y
погрозить	p o h r o z y tj
погрозою	p o h r o z o j u
погромнику	p o h r o m n y k u
погрубів	p o h r u bj i w
погрузили	p o h r u z y l y
погріти	p o h rj i t y
погрішилися	p o h rj i sh y l y sj a
погуба	p o h u b a
погуби	p o h u b y
погубив	p o h u b y w
погубили	p o h u b y l y
погубителя	p o h u b y t e lj a
погубити	p o h u b y t y
погубить	p o h u b y tj
погубиш	p o h u b y sh
погублена	p o h u b l e n a
погублене	p o h u b l e n e
погублений	p o h u b l e n y j
погублені	p o h u b l e nj i
погублю	p o h u b lj u
погублює	p o h u b lj u j e
погукувати	p o h u k u w a t y
подав	p o d a w
подавав	p o d a w a w
подавався	p o d a w a w sj a
подавай	p o d a w a j
подавайте	p o d a w a j t e
подавала	p o d a w a l a
подавали	p o d a w a l y
подавати	p o d a w a t y
подавсь	p o d a w sj
подався	p o d a w sj a
подадуть	p o d a d u tj
подадуться	p o d a d u tsj tsj a
подай	p o d a j
подайся	p o d a j sj a
подайте	p o d a j t e
подала	p o d a l a
подали	p o d a l y
подалися	p o d a l y sj a
подало	p o d a l o
подам	p o d a m
подарований	p o d a r o w a n y j
подарок	p o d a r o k
подарував	p o d a r u w a w
подарунка	p o d a r u n k a
подарунки	p o d a r u n k y
подарунком	p o d a r u n k o m
подарунок	p o d a r u n o k
подарує	p o d a r u j e
подаси	p o d a s y
подасте	p o d a s t e
подасть	p o d a sj tj
подати	p o d a t y
податки	p o d a t k y
податковий	p o d a t k o w y j
податку	p o d a t k u
податків	p o d a t kj i w
податок	p o d a t o k
подаюсь	p o d a j u sj
подає	p o d a j e
подається	p o d a j e tsj tsj a
подаєш	p o d a j e sh
подбав	p o d b a w
подбай	p o d b a j
подбала	p o d b a l a
подбають	p o d b a j u tj
подбає	p o d b a j e
подвойте	p o d w o j t e
подвоїться	p o d w o j i tsj tsj a
подвійне	p o d wj i j n e
подвійний	p o d wj i j n y j
подвійним	p o d wj i j n y m
подвійних	p o d wj i j n y x
подвійно	p o d wj i j n o
подвійного	p o d wj i j n o h o
подвійною	p o d wj i j n o j u
подвійної	p o d wj i j n o j i
подвійну	p o d wj i j n u
подвійні	p o d wj i j nj i
подвір	p o d wj i r
подер	p o d e r
подере	p o d e r e
подерж	p o d e r zh
подерлися	p o d e r l y sj a
подерта	p o d e r t a
подерте	p o d e r t e
подертого	p o d e r t o h o
подертій	p o d e r tj i j
подив	p o d y w
подививсь	p o d y w y w sj
подивився	p o d y w y w sj a
подивилась	p o d y w y l a sj
подивимося	p o d y w y m o sj a
подивись	p o d y w y sj
подивися	p o d y w y sj a
подивитись	p o d y w y t y sj
подивитися	p o d y w y t y sj a
подивиться	p o d y w y tsj tsj a
подивишся	p o d y w y sj sj a
подивом	p o d y w o m
подивіться	p o d y wj i tsj tsj a
подих	p o d y x
подихом	p o d y x o m
подиху	p o d y x u
подмухненого	p o d m u x n e n o h o
подоб	p o d o b
