a	al
joschawja	j o S a v j a
joschbekasa	j o S b el k a z al
joscheba	j o S etu b a
joschibjas	j o s i p j al s
josechs	j o s e k s
joseph	j o s e f
josephs	j o s e f s
joses	j o s etu s
josia	j o s i a
josias	j ol z il a s
josiphjas	j o s j f j al s
josua	j o s u al
josuas	j o s u a s
jotba	j ol t b al
jotbatha	j ol t b al t h a
jotham	j o t a m
jothams	j ol t h a m s
jozadak	j o s a d al k
jozadaks	j o s a d al k s
joëds	S ts
joëla	j ol l al
joëser	j ol z etu r
jubal	j ul b al l
jubel	j ul b etu l
jubeln	j ul b etu l n
jubelt	j ul b etu l t
juchal	j u k al l
juda	j ul d a
judas	j ul d a s
jude	j ul d etu
juden	j ul d etu n
judenfeindes	j ul d etu n f a i n d etu s
judengenossen	j ul d etu n g etu n o s etu n
judenkönig	j ul d etu n k oel n i k
judentum	j ul d etu n t ul m
judi	j ul d i
judith	j ul d i z
judäa	j ul d e al
judäas	j ul d e al s
judäer	j ul d e atu
judäern	j ul d ae etu r n
judäische	j ul d ae i S etu
jugend	j ul g etu n t
jugendkraft	j ul g e n d k r a f t
jugendzeit	j ul g etu n t ts aI t
julia	j u l i al
julius	j ul l j u s
jung	j u ng
junge	j u ng etu
jungen	j u ng etu n
junger	j u ng etu r
junges	j u ng etu s
jungfrau	j u ng f r a u
jungfrauen	j u ng f r a u etu n
jungfrauschaft	j u ng f r aU S a f t
jungfräulich	j u ng f r eU l i C
jungfräulichkeit	j u ng f r eU l i x k a i t
jungtiere	j u ng t il r etu
jungtieren	j u ng t il r etu n
jungvieh	j u ng v il
junias	j ul n il al s
jupiter	j ul p i t atu
jupiters	j ul p i t atu s
juschab	j u S a p
justus	j u s t u s
jutta	j ul t t al
jäger	j ae g etu r
jähe	j ae etu
jähem	j ae etu m
jährlich	j ae r l i C
jährliche	j ae r l i C etu
jähzornig	j ae ts o r n i x
jähzorniger	j ae ts o r n i g atu
jämmerlich	j e m etu r l i C
jëusch	j u S
jëuz	j u ts
jücken	j ue k etu n
jüdin	j uel d i n
jüdisch	j uel d i S
jüdische	j uel d i S etu
jüdischen	j uel d i S etu n
jüdischer	j uel d i S etu r
jünger	j ue ng etu r
jüngere	j ue ng etu r etu
jüngeren	j ue ng etu r etu n
jüngerer	j ue ng etu r etu r
jüngerin	j ue ng etu r i n
jüngern	j ue ng etu r n
jüngers	j ue ng etu r s
jüngling	j ue ng l i ng
jünglinge	j ue ng l i ng etu
jünglingen	j ue ng l i ng etu n
jünglings	j ue ng l i ng s
jüngste	j ue ng s t etu
jüngsten	j ue ng s t etu n
jüngster	j ue ng s t etu r
kabbon	k a b b o ng
kabul	k a b ul l
kabzeel	k a b ts el l
kades	k al d etu s
kadesch	k a d e S
kadmiel	k a d m il l
kadmiël	k a d m i l
kadmoniter	k a d m ol n i t atu
kahath	k a h al t
kahl	k al l
kahle	k al l etu
kahlen	k al l etu n
kahlfressen	k al l f r e s etu n
kahlgeschoren	k al l g etu S ol r etu n
kahlkopf	k al l k o p f
kain	k al il n
kains	k al il n s
kaiphas	k aI f al s
kaiser	k a i z etu r
kaiserlichen	k a i z etu r l i x etu n
kaisers	k a i z etu r s
kalah	k a l al
kalb	k a l p
kalbe	k a l b etu
kalbes	k a l b etu s
kalbt	k a l p t
kaleb	k a l el p
kalebs	k a l el p s
kalk	k a l k
kalkol	k a l k ol l
kalksteinen	k a l k S t a i n etu n
kallai	k a l aI
kalmus	k a l m u s
kalne	k a l n etu
kalno	k a l n ol
kalt	k a l t
kalten	k a l t etu n
kalub	k a l u p
kam	k al m
kamel	k a m etu l
kamele	k a m el l etu
kamelen	k a m el l etu n
kamelhaaren	k a m el l h al r etu n
kamelsattel	k a m el l z a t etu l
kamelstute	k a m etu l S t ul t etu
kameltrift	k a m el l t r i f t
kamen	k al m etu n
kammer	k a m etu r
kammern	k a m etu r n
kamon	k a m ol n
kampf	k a m p f
kampfbahn	k a m p f b al n
kampfes	k a m p f etu s
kampfgeschrei	k a m p f g etu S r aI
kampfplatz	k a m p f p l a ts
kampfspiel	k a m p f S p il l
kamst	k a m s t
kamt	k a m t
kana	k a n al
kanaan	k a n a etu n
kanaaniter	k a n a al n il t atu
kanaaniterin	k a n a al n i t atu r i n
kanaanitern	k a n a al n il t etu r n
kanaanitischen	k a n a al n i t i S etu n
kanaans	k a n a al n s
kanaanäisches	k a n a a ae i S etu s
kananja	k a n a n j al
kananäus	k a n a n ae u s
kandake	k a n d al k etu
kann	k a n
kanne	k a n etu
kannen	k a n etu n
kannst	k a n s t
kannte	k a n t etu
kannten	k a n t etu n
kanntest	k a n t etu s t
kanntet	k a n t etu t
kanzel	k a n ts etu l
kanzlei	k a n ts l a i
kanzler	k a n ts l etu r
kanäle	k a n ae l etu
kaper	k a p atu
kapernaum	k a p e atu n aU m
kaphthoriter	k a p t ol r i t atu
kaphtor	k a p t ol r
kaphtoriter	k a p t o r i t atu
kapitel	k a p il t etu l
kappadozien	k a p a d ol ts il etu n
kar	k al r
karawanen	k a r a v al n etu n
kareachs	k a r e al x s
kargt	k a r k t
karka	k a atu k al
karkas	k a r k al s
karkemisch	k a r k etu m i S
karkor	k a atu k ol r
karmel	k a r m etu l
karmeliter	k a r m el l il t etu r
karmeliterin	k a r m el l il t etu r i n
karmeliters	k a r m el l il t etu r s
karmesinfarbene	k a r m etu s i n f a r b etu n etu
karmesinfarbenen	k a r m etu s i n f a r b etu n etu n
karmi	k a r m il
karmis	k a r m il s
karmiter	k a r m i t atu
karnaim	k a atu n e i m
karnajim	k a atu n a j i m
karpus	k a r p u s
karschena	k a r S etu n a
kartha	k a atu t al
karthan	k a atu t al n
kasiphja	k a z il f j al
kasluhiter	k a s l u i t atu
kassia	k a s il al
kastanien	k a s t al n i etu n
kasteien	k a s t a i etu n
kasteit	k a s t aI t
kasten	k a s t etu n
kattath	k a t t al t
kauern	k aU atu n
kauerte	k a u etu r t etu
kauf	k a u f
kaufbrief	k a u f b r il f
kaufe	k a u f etu
kaufen	k aU f etu n
kaufest	k a u f e s t
kaufet	k a u f etu t
kaufhause	k a u f h a u z etu
kaufleute	k a u f l eU t etu
kaufleuten	k a u f l eU t etu n
kaufmann	k a u f m a n
kaufmannsschiff	k a u f m a n s S i f
kaufpreis	k a u f p r a i s
kaufst	k a u f s t
kauft	k a u f t
kaufte	k a u f t etu
kauften	k a u f t etu n
kaum	k aU m
kawlakaw	k a v l a k a f
kazin	k a ts il n
kebar	k e b al r
kebsweib	k el p s v a i p
kebsweibern	k el p s v aI b etu r n
kedar	k el d al r
kedars	k el d al r s
kedemoth	k el d etu m ol t
kedesch	k el d e S
kedma	k e d m a
kedor	k el d ol r
kegila	k el g il l a
kegilas	k el g il l al s
kehath	k el a t
kehathiter	k el t atu
kehathitern	k el t atu n
kehaths	k el a ts
kehelatha	k el l a t al
kehle	k el l etu
kehr	k el r
kehre	k el r etu
kehren	k el r etu n
kehret	k el r e t
kehricht	k el r i C t
kehrst	k el r s t
kehrt	k el r t
kehrte	k el r t etu
kehrten	k el r t etu n
kein	k aI n
keine	k aI n etu
keinem	k a i n etu m
keinen	k a i n etu n
keiner	k aI n atu
keinerlei	k aI n atu l aI
keines	k a i n etu s
keins	k aI n s
kelaja	k e l a j al
kelal	k e l al l
kelch	k e l C
kelche	k e l C etu
kelchen	k e l C etu n
kelita	k e l il t al
keller	k e l atu
kelter	k e l t atu
kelterer	k e l t etu r etu r
keltern	k e l t atu n
keltert	k e l t etu r t
kelterten	k e l t etu r t etu n
keltertreters	k e l t atu t r el t etu r s
kelubai	k e l ue aI
kelubs	k e l u p s
keluhi	k e l u i
kemosch	k e m o S
kemuel	k e m ue l
kemuël	k e m u l
kemuëls	k e m u l s
kenaana	k el n al al n a
kenaanas	k e n al n a s
kenan	k etu n a n
kenani	k el n al n i
kenanja	k etu n a n j al
kenans	k el n al n s
kenas	k el n al s
kenath	k e n al t
kenchreä	k e n k r e ae
kenisiter	k el n il z il t etu r
kenisiters	k el n il z il t etu r s
keniter	k e n i t atu
kenitern	k e n i t etu r n
keniters	k e n i t atu s
kenne	k e n etu
kennen	k e n etu n
kennenlernen	k e n etu n l e atu n etu n
kennenzulernen	k e n etu n ts u l e atu n etu n
kennest	k e n etu s t
kennet	k e n etu t
kennst	k e n s t
kennt	k e n t
kennte	k e n t etu
kenntet	k e n t etu t
kennzeichen	k e n ts aI C etu n
kephar	k e p h al r
kephas	k el f al s
kephira	k el f il r al
kephirim	k el f il r il m
kephisch	k el f i S
keramim	k e r a m i m
keran	k e r a n
kerem	k el r etu m
keren	k el r etu n
kerijoth	k el r il j ol t
kerker	k e atu k atu
kerkermeister	k e r k etu r m aI s t atu
kerkern	k e r k e atu n
keros	k el r ol s
kerub	k e r u b
kesalon	k etu s a l o n
kesil	k el z il l
kessel	k e s etu l
kesseln	k e s etu l n
kesulloth	k el z u l ol t
kettchen	k e t C etu n
kette	k e t etu
ketten	k e t etu n
ketura	k e t ul r al
keturas	k e t ul r a s
ketzerischen	k e ts etu r i S etu n
keucht	k eU C t
keule	k e ul l etu
keulen	k eU l etu n
keusch	k el u S
keuschheit	k eU S h a i t
kezia	k e ts i al
keziz	k e ts i ts
kibzajim	k il p ts a d S i m
kidons	k i d o n s
kidron	k il d r o n
kiefern	k il f atu n
kiesel	k il s etu l
kieselstein	k il s etu l S t aI n
kieselsteine	k il s etu l S t aI n etu
kilab	k il l a p
kiljon	k il l j o n
kimham	k i m h a m
kimhams	k i m h a m s
kina	k i n a
kind	k i n t
kinde	k i n d etu
kinder	k i n d atu
kinderlos	k i n d etu r l ol s
kinderlose	k i n d atu l ol z etu
kindern	k i n d atu n
kindes	k i n d etu s
kindeskind	k i n d etu s k i n t
kindeskinder	k i n d etu s k i n d atu
kindeskindern	k i n d etu s k i n d atu n
kindesnöten	k i n d etu s n oel t etu n
kindessöhne	k i n d etu s z oel n etu
kindestöchter	k i n d etu S t oe C t etu r
kindheit	k i n d h aI t
kindlein	k i n d l aI n
kindleins	k i n d l a i n s
kindlich	k i n t l i C
kindliche	k i n t l i C etu
kindlichen	k i n t l i C etu n
kindschaft	k i n t S a f t
kindsnöte	k i n ts n oel t etu
kindsnöten	k i n ts n oel t etu n
kiniter	k i n i t atu
kinnbacken	k i n b a k etu n
kinnereth	k i n etu r etu t
kir	k il r
kirjat	k i r j al t
kirjath	k i r j al t
kirjathaim	k i r j al t a i m
kirjathajim	k i r j al t h a d S i m
kis	k i s
kischjon	k i S j o n
kislew	k i s l el v
kislons	k i s l o ng s
kisloth	k i s l o t
kison	k il z o n
kissen	k i s etu n
kithlisch	k i t l i S
kitron	k i t r ol n
kittim	k i t il m
kittiter	k i t il t atu
kiun	k il ul n
klafter	k l a f t atu
klage	k l al g etu
klageeiche	k l al g etu a i x etu
klagegeschrei	k l al g etu g e S r aI
klageleute	k l al g etu l eU t etu
klagelied	k l al g etu l il t
klageliedern	k l al g etu l il d etu r n
klageliedes	k l al g etu l il d etu s
klagen	k l al g etu n
klagend	k l al g etu n t
klagens	k l al g etu n s
klaget	k l al g etu t
klageweiber	k l al g etu v a i b etu r
klagt	k l al k t
klagte	k l al k t etu
klagten	k l al k t etu n
klammern	k l a m etu r n
klang	k l a ng
klar	k l al r
klare	k l al r etu
klarer	k l al r etu r
klares	k l al r etu s
klarheit	k l al r h aI t
klatschen	k l a t S etu n
klatscht	k l a t S t
klatschten	k l a t S t etu n
klauda	k l aU d a
klaudia	k l aU d j al
klaudius	k l a u d il u s
klaue	k l a u etu
klauen	k l a u etu n
kleben	k l el b etu n
klebt	k l el p t
klebte	k l el p t etu
kleid	k l a i t
kleide	k l a i d etu
kleiden	k l a i d etu n
kleider	k l a i d etu r
kleiderhüters	k l aI d etu r h uel t etu r s
kleiderkammer	k l aI d etu r k a m atu
kleidern	k l a i d etu r n
kleiderpracht	k l aI d etu r p r a x t
kleides	k l aI d etu s
kleidet	k l a i d etu t
kleidete	k l a i d etu t etu
kleidung	k l a i d u ng
klein	k l a i n
kleine	k l a i n etu
kleinem	k l a i n etu m
kleinen	k l a i n etu n
kleiner	k l a i n etu r
kleineren	k l a i n etu r etu n
kleines	k l aI n etu s
kleingläubigen	k l aI n g l eU b i g etu n
kleingläubiger	k l aI n g l eU b i g etu r
kleinmut	k l a i n m ul t
kleinmütigen	k l a i n m uel t i g etu n
kleinod	k l a i n ol t
kleinode	k l a i n ol d etu
kleinoden	k l a i n ol t etu n
kleinodien	k l a i n ol d il n
kleinste	k l a i n s t etu
kleinsten	k l a i n s t etu n
kleinvieh	k l aI n f il
klemens	k l e m e n s
klemmte	k l e m t etu
kleopas	k l el ol p al s
kletterte	k l e t etu r t etu
klingende	k l i ng etu n d etu
klingenden	k l i ng e n d etu n
klippdachs	k l i p d a x s
klippdachse	k l i p d a k s etu
klippen	k l i p etu n
klirrt	k l i atu t
klopfe	k l o p f etu
klopfen	k l o p f etu n
klopfet	k l o p f etu t
klopfte	k l o p f t etu
klotz	k l o ts
kluft	k l u f t
klug	k l ul k
kluge	k l ul g etu
klugen	k l ul g etu n
kluger	k l ul g etu r
klugheit	k l ul k h a i t
klumpen	k l u m p etu n
kläger	k l ae g etu r
klägern	k l ae g etu r n
kläglich	k l ae k l i C
klägliches	k l ae k l i C etu s
klötzen	k l oe ts etu n
klüfte	k l uel f t etu
klüften	k l uel f t etu n
klüger	k l uel g etu r
klüglich	k l uel k l i C
knabe	k n al b etu
knaben	k n al b etu n
knabenschänder	k n al b etu n S e n d etu r
knabenschändern	k n al b etu n S e n d etu r n
knallen	k n a l etu n
knappen	k n a p etu n
knauf	k n a u f
knaufs	k n a u f s
knecht	k n e C t
knechte	k n e C t etu
knechten	k n e C t etu n
knechtes	k n e C t etu s
knechteten	k n e C t etu t etu n
knechtische	k n e C t i S etu
knechtischen	k n e C t i S etu n
knechts	k n e C ts
knechtschaft	k n e C t S a f t
knechtsgestalt	k n e C ts g etu S t a l t
knete	k n e t etu
kneten	k n e t etu n
knetete	k n e t etu t etu
knidus	k n i d u s
knie	k n il
kniee	k n il
knien	k n il etu n
kniend	k n il etu n t
kniet	k n il t
kniete	k n il t etu
knieten	k n il t etu n
knirschen	k n i r S etu n
knirscht	k n i r S t
knirschte	k n i r S t etu
knirschten	k n i r S t etu n
knoblauch	k n ol p l a u x
knochen	k n o x etu n
knochiger	k n o C i g atu
knospen	k n ol s p etu n
knoten	k n ol t etu n
knurren	k n u r etu n
knäblein	k n ae b l aI n
knäbleins	k n ae b l a i n s
knäuel	n eU etu l
knäufe	n eU f etu
knäufen	n eU f etu n
knöchel	k n oe C etu l
knüpfen	k n ue p f etu n
knüpfte	k n ue p f t etu
knüpften	k n ue p f t etu n
koa	k o a
koch	k o x
koche	k o x etu
kochen	k o x etu n
kocht	k o x t
kochte	k o x t etu
kochten	k o x t etu n
kohl	k ol l
kohle	k ol l etu
kohlen	k ol l etu n
kohlenbecken	k ol l etu n b e k etu n
kohlenfeuer	k ol l etu n f eU atu
kohlenpfannen	k ol l etu n p f a n etu n
kohlgarten	k ol l g a atu t etu n
kolajas	k ol l a j al s
kolhoses	k ol l h ol z etu s
kolon	k o l o n
kolonie	k ol l ol n il
kolossä	k o l o s ae
komm	k o m
komme	k o m etu
kommen	k o m etu n
kommende	k o m etu n d etu
kommenden	k o m etu n d etu n
kommens	k o m etu n s
kommest	k o m etu s t
kommet	k o m e t
kommst	k o m s t
kommt	k o m t
konja	k o n j al
konjas	k o n j al s
konnte	k o n t etu
konnten	k o n t etu n
konntet	k o n t etu t
kopf	k o p f
kopfbund	k o p f b u n t
kopfes	k o p f etu s
kopfschmuck	k o p f S m u k
kopftücher	k o p f t ue C atu
korah	k ol r al
korahiter	k ol r al h il t atu
korahitern	k ol r al h il t etu r n
korahiters	k ol r al h il t atu s
korahs	k ol r al s
korallen	k ol r a l etu n
korb	k o r p
korban	k ol r b al n
korbe	k ol r b etu
kore	k ol r etu
kores	k ol r etu s
koriandersamen	k ol r il a n d atu z al m etu n
korinth	k ol r i n t
korinther	k ol r i n t atu
korn	k o atu n
kornelius	k o atu n etu l il u s
kornfeld	k o r n f e l t
kornfeldern	k o r n f e l d etu r n
kornhaufen	k o r n h a u f etu n
kornhäuser	k o r n h eU z etu r
kornmass	k o r n m a s
korns	k o r n s
kornspeichern	k o r n S p aI C atu n
kos	k ol s
kosams	k ol z a m s
kosbi	k o s b il
koseba	k ol z etu b a
kosen	k ol z etu n
kostbar	k o s t b al r
kostbare	k o s t b al r etu
kostbarem	k o s t b al r etu m
kostbaren	k o s t b al r etu n
kostbarer	k o s t b al r etu r
kostbares	k o s t b al r etu s
kostbarkeiten	k o s t b al r k a i t etu n
koste	k ol s t etu
kosten	k o s t etu n
kostete	k o s t etu t etu
kot	k ol t
koz	k o s
koë	k ol
krachen	k r a x etu n
kracht	k r a x t
kraft	k r a f t
kraftlos	k r a f t l ol s
kragen	k r al g etu n
kranich	k r al n i C
krank	k r a ng k
kranke	k r a ng k etu
kranken	k r a ng k etu n
krankenkost	k r a ng k etu n k o s t
krankenspeise	k r a ng k etu n S p aI z etu
krankes	k r a ng k etu s
krankheit	k r a ng k h a i t
krankheiten	k r a ng k h a i t etu n
kranz	k r a n ts
kraus	k r aU s
kraut	k r a u t
kreatur	k r el a t ul r
kreaturen	k r el a t ul r etu n
krebs	k r el p s
kreis	k r a i s
kreise	k r a i z etu
kreissen	k r aI s z etu n
kreta	k r el t a
kreter	k r el t atu
krether	k r e t atu
kreuz	k r eU ts
kreuze	k r eU ts etu
kreuzes	k r eU ts etu s
kreuzige	k r eU ts i g etu
kreuzigen	k r eU ts i g etu n
kreuzigt	k r eU ts i C t
kreuzigten	k r eU ts i k t etu n
kreuzigung	k r eU ts i g u ng
kreuzung	k r eU ts u ng
kriechen	k r il C etu n
kriechende	k r il C etu n d etu
kriechenden	k r il C etu n d etu n
kriecht	k r il C t
krieg	k r il k
kriege	k r il g etu
kriegen	k r il g etu n
krieger	k r il g etu r
kriegerischen	k r il g etu r i S etu n
kriegern	k r il g etu r n
kriegers	k r il g etu r s
krieges	k r il g etu s
kriegsbeute	k r il k s b eU t etu
kriegsbogen	k r il k s b ol g etu n
kriegsgefangenen	k r il g s g etu f a ng etu n etu n
kriegsgeschrei	k r il k s g etu S r aI
kriegsgeschreis	k r il k s g etu S r a i s
kriegshaufen	k r il k s h a u f etu n
kriegshelden	k r il k s h e l d etu n
kriegsknecht	k r il g s k n e C t
kriegsknechte	k r il g s k n e C t etu
kriegsknechten	k r il g s k n e C t etu n
kriegskundig	k r il k s k u n d i x
kriegsleute	k r il g s l eU t etu
kriegsleuten	k r il g s l eU t etu n
kriegsmann	k r il k s m a n n
kriegsmänner	k r il k s m e n etu r
kriegsmännern	k r il k s m e n etu r n
kriegsscharen	k r il g s S al r etu n
kriegstrompeten	k r il k s t r o m p el t etu n
kriegstüchtigen	k r il k s t ue C t i g etu n
kriegstüchtiges	k r il k s t ue C t i g etu s
kriegsvolk	k r il k s f o l k
kriegsvolkes	k r il k s f o l k etu s
kriegsvolks	k r il k s f o l k s
kriegswaffe	k r il k s v a f etu
kriegswaffen	k r il k s v a f etu n
kriegswagen	k r il k s v al g etu n
kriegswehr	k r il k s v el r
kriegszug	k r il k s ts ul k
kriegt	k r il k t
kriegte	k r i k t etu
kriegten	k r i k t etu n
krippe	k r i p etu
krispus	k r il s p u s
kristall	k r i s t a l
kristallen	k r i s t a l etu n
krith	k r i t
krone	k r ol n etu
kronen	k r ol n etu n
kronreif	k r ol n r a i f
kropf	k r o p f
krug	k r ul g
kruge	k r ul g etu
krumm	k r u m
krumme	k r u m etu
krummen	k r u m etu n
kräfte	k r e f t etu
kräften	k r e f t etu n
kräftig	k r e f t i x
kräftige	k r e f t i g etu
kräftigen	k r e f t i g etu n
kräftiger	k r e f t i g etu r
krähen	k r ae etu n
kräht	k r ae t
krähte	k r ae t etu
krämerland	k r ae m etu r l a n t
krämern	k r ae m atu n
krämers	k r ae m atu s
krämervolk	k r ae m atu f o l k
kränkt	k r e ng k t
kränkte	k r e ng k t etu
kränze	k r e n ts etu
krätze	k r e ts etu
kräutern	k r eU t etu r n
kröne	k r oel n etu
kröte	k r oel t etu
krüge	k r uel g etu
krümme	k r ue m etu
krümmen	k r ue m etu n
krümmt	k r ue m t
krümmte	k r ue m t etu
krüppel	k r ue p etu l
kub	k u b
kuchen	k ul x etu n
kuckuck	k u k u k
kufen	k ul f etu n
kugel	k ul g etu l
kugeln	k ul g etu l n
kugligen	k ul g l i g etu n
kuh	k ul
kuhmist	k ul m i s t
kumi	k ul m i
kummer	k u m etu r
kummervoller	k u m atu f o l atu
kun	k ul n
kund	k u n t
kunde	k u n d etu
kundgemacht	k u n t g etu m a x t
kundgetan	k u n t g etu t al n
kundgeworden	k u n t g etu v o r d etu n
kundig	k u n d i x
kundigsten	k u n d i x s t etu n
kundmachen	k u n t m a x etu n
kundschafter	k u n t S a f t atu
kundtat	k u n t t al t
kundtue	k u n t t ul etu
kundtun	k u n t t ul n
kundtust	k u n t t u s t
kundtut	k u n t t ul t
kundtäte	k u n t t ae t etu
kundtäten	k u n t t ae t etu n
kundtätest	k u n t t ae t etu s t
kundwerden	k u n t v el r d etu n
kundwürde	k u n t v ue atu d etu
kundzumachen	k u n t ts u m a x etu n
kundzutun	k u n t ts ul t ul n
kunst	k u n s t
kunstreich	k u n s t r aI C
kunstreiche	k u n s t r aI C etu
kunstreicher	k u n s t r a i x etu r
kunstverständig	k u n s t f atu S t e n d i x
kunstvoll	k u n s t f o l
kunstvolle	k u n s t f o l etu
kunstweber	k u n s t v el b atu
kunstwirkerarbeit	k u n s t v i r k e r a r b a i t
kunstwirkers	k u n s t v i r k etu r s
kupfer	k u p f atu
kupferarbeit	k u p f atu a atu b aI t
kupfererz	k u p f etu r e r ts
kupferne	k u p f atu n etu
kupfernem	k u p f atu n etu m
kupfernen	k u p f atu n etu n
kupferner	k u p f atu n atu
kupfernes	k u p f atu n etu s
kupfers	k u p f etu r s
kupferschmied	k u p f atu S m il d
kurz	k u r ts
kurze	k u atu ts etu
kurzem	k u r ts etu m
kurzen	k u atu ts etu n
kusch	k u S
kuschajas	k u S a j al s
kuschan	k u S al n
kuschis	k u S il s
kuschiter	k u S i t atu
kuschiterin	k u S i t atu r i n
kuschitern	k u S il t etu r n
kuschitische	k u S il t i S etu
kuss	k u s
kusse	k u s etu
kutha	k u t al
kyrene	k ue atu e n etu
kyrenäer	k ue atu e n ae etu r
käfer	k ae f atu
käfig	k ae f i g
kälber	k e l b etu r
kälbern	k e l b etu r n
kälte	k e l t etu
käme	k ae m etu
kämen	k ae m etu n
kämmen	k e m etu n
kämmerer	k e m etu r etu r
kämmerern	k e m etu r etu r n
kämmerers	k e m etu r etu r s
kämmerlein	k e m etu r l a i n
kämpfe	k e m p f etu
kämpfen	k e m p f etu n
kämpfer	k e m p f etu r
kämpfern	k e m p f etu r n
kämpfet	k e m p f etu t
kämpfst	k e m p f s t
